"","aveSalary","R","SPSS","Excel","Python","MATLAB","Java","SQL","SAS","Stata","EViews","Spark","Hadoop","公司类别","公司规模","学历要求","工作经验","地区","对数薪资"
"167",17499.5,"0","1","1","0","0","0","1","1","0","0","0","0","国企","10000人以上","本科",2,"北上深",9.76992758807486
"168",17499.5,"1","1","0","0","0","0","0","1","0","0","0","0","外资","10000人以上","无",2,"北上深",9.76992758807486
"169",17499.5,"1","0","0","1","0","1","0","0","0","0","0","0","民营公司","1000-5000人","本科",3,"北上深",9.76992758807486
"170",17499.5,"1","1","0","0","0","0","0","1","0","0","0","0","民营公司","1000-5000人","本科",8,"北上深",9.76992758807486
"171",17499.5,"0","1","0","0","1","0","1","1","0","0","0","0","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"172",17499.5,"0","0","0","0","0","0","1","0","0","0","0","0","合资","1000-5000人","大专",6,"北上深",9.76992758807486
"173",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",0,"北上深",9.76992758807486
"174",17499.5,"0","0","0","0","1","1","0","0","0","0","0","0","合资","50-500人","研究生",1,"北上深",9.76992758807486
"175",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","1000-5000人","本科",3,"北上深",9.76992758807486
"176",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",6,"北上深",9.76992758807486
"177",17499.5,"0","0","1","0","1","0","0","0","0","0","0","0","民营公司","少于50人","本科",0,"北上深",9.76992758807486
"178",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","500-1000人","本科",3,"北上深",9.76992758807486
"179",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","无",0,"北上深",9.76992758807486
"180",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","合资","50-500人","本科",0,"北上深",9.76992758807486
"181",17499.5,"0","0","0","0","0","1","1","0","0","0","0","1","民营公司","50-500人","本科",2,"北上深",9.76992758807486
"182",17499.5,"0","0","0","0","0","0","1","0","0","0","0","0","外资","1000-5000人","本科",0,"北上深",9.76992758807486
"183",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","1000-5000人","本科",8,"北上深",9.76992758807486
"184",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","国企","50-500人","无",8,"北上深",9.76992758807486
"185",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","大专",3,"北上深",9.76992758807486
"186",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",3,"北上深",9.76992758807486
