"","offertype","season","type","cross","rl","intern","research","paper","first","sci","exchange","CollegeRankTop50","gpa_dis","toefl_dis","gre_dis","major_apply_new"
"7035","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","Others"
"7539","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","325~330","EE"
"3812","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","MFE/Fin/FinMath"
"6178","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","320~325","EE"
"7701","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7",">106","325~330","Others"
"2678","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","102~106","<=315","Others"
"5782","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4",">106","315~320","CS"
"3588","1","Fall","MS",0,0,1,1,0,0,0,0,"Top50",">3.7","<=98","315~320","CS"
"1558","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","98~102","<=315","Material"
"7465","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4",">106","325~330","EE"
"8320","1","Fall","MS",0,0,1,0,0,0,0,0,"Others",">3.7","98~102","315~320","MIS"
"6422","1","Fall","PhD",0,0,0,0,1,0,1,0,"Top50","3.55~3.7","<=98","<=315","ME"
"9470","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","EE"
"7302","0","Fall","MS",0,0,1,1,0,0,0,0,"Others","3.4~3.55","102~106","320~325","CS"
"410","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106",">330","EE"
"9044","1","Fall","MS",1,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","EE"
"7554","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","315~320","IEOR"
"8483","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","Others"
"4200","1","Fall","MS",0,0,0,1,1,0,1,0,"Others","<=3.4","<=98","320~325","Others"
"1586","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","325~330","MFE/Fin/FinMath"
"1484","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","<=315","EE"
"3841","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","CS"
"5283","1","Fall","混合",0,0,0,0,0,1,1,0,"Others","3.4~3.55","98~102","320~325","ME"
"1815","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","325~330","IEOR"
"5205","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","CS"
"8501","1","Spring","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","CS"
"3634","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50",">3.7","102~106","315~320","EE"
"6078","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50",">3.7",">106","325~330","EE"
"8973","1","Fall","MS",0,1,1,0,0,0,0,0,"Others","<=3.4","<=98","<=315","MIS"
"3029","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50","3.4~3.55","98~102","315~320","Others"
"5674","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50",">3.7",">106","320~325","CS"
"4313","0","Fall","MS",1,0,0,0,0,1,1,0,"Others","3.4~3.55","102~106","325~330","ME"
"2271","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","CS"
"1462","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4","102~106","325~330","EE"
"2926","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others","3.55~3.7",">106","320~325","EE"
"7592","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50","3.4~3.55","102~106","320~325","MIS"
"9927","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","CS"
"5776","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50",">3.7","98~102","320~325","CS"
"5367","1","Fall","PhD",1,0,0,0,0,0,0,0,"Others",">3.7","102~106","315~320","Others"
"2832","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50",">3.7",">106","325~330","Stat/Biostat"
"2833","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","320~325","Stat/Biostat"
"7046","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","EE"
"7083","0","Fall","MS",0,0,1,1,0,0,0,0,"Others","3.55~3.7","<=98","315~320","EE"
"5887","1","Fall","混合",1,0,1,0,1,1,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"153","1","Fall","MS",0,0,1,1,0,0,0,0,"Others","<=3.4","<=98","315~320","CS"
"2720","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"2731","0","Fall","MS",0,0,1,1,0,0,0,0,"Top50","3.4~3.55","102~106","320~325","CS"
"9391","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","320~325","IEOR"
"6436","1","Fall","混合",0,0,0,0,0,0,0,0,"Top50",">3.7","<=98","315~320","Others"
"8563","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4",">106","320~325","CS"
"2627","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","315~320","CS"
"8581","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4",">106","320~325","CS"
"5992","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50",">3.7",">106","325~330","CS"
"9338","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","MIS"
"8737","1","Fall","MS",0,0,1,1,0,0,0,0,"Others",">3.7","<=98","315~320","CS"
"5931","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","315~320","CS"
"7694","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","CS"
"2355","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","CS"
"7995","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","102~106","320~325","CS"
"9743","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","315~320","CS"
"1545","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","320~325","IEOR"
"4364","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","<=98","320~325","CS"
"9416","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","MFE/Fin/FinMath"
"283","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","CS"
"4715","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","102~106","<=315","CS"
"2566","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","Stat/Biostat"
"6455","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","320~325","Stat/Biostat"
"7214","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","Stat/Biostat"
"3231","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","Stat/Biostat"
"8575","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","CS"
"4226","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CS"
"5812","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","325~330","CS"
"4225","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","98~102","325~330","CS"
"5772","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","325~330","CS"
"6914","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","Stat/Biostat"
"6758","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","Stat/Biostat"
"3624","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","325~330","EE"
"172","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","CS"
"5709","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","320~325","CS"
